Time,TargetSpeed,SpeedL,SpeedR,TheoYawRate,ActualYawRate,SlipFlag
00:00:00,-607.78,-3252.82,-3252.82,0.0000,-0.1340,0
00:00:00,-607.78,-3242.95,-3223.21,0.1128,0.0038,0
00:00:00,-607.78,-3247.89,-3213.34,0.1974,-0.0599,0
00:00:00,-607.78,-3238.02,-3213.34,0.1410,0.1682,0
00:00:00,-607.78,-3233.08,-3198.53,0.1974,-0.0655,0
00:00:00,-607.78,-3228.14,-3198.53,0.1692,0.1231,0
00:00:00,-607.78,-3188.66,-3168.91,0.1128,-0.0275,0
00:00:00,-607.78,-3188.66,-3198.53,-0.0564,0.0276,0
00:00:00,-607.78,-3163.98,-3163.98,0.0000,-0.0693,0
00:00:00,-607.78,-3159.04,-3168.91,-0.0564,0.1341,0
00:00:00,-607.78,-3163.98,-3149.17,0.0846,0.1505,0
00:00:00,-607.78,-3159.04,-3183.72,-0.1410,0.0658,0
00:00:00,-607.78,-3149.17,-3124.49,0.1410,0.1185,0
00:00:00,-607.78,-3149.17,-3144.23,0.0282,-0.0109,0
00:00:00,-607.78,-3149.17,-3124.49,0.1410,0.1914,0
00:00:00,-607.78,-3139.30,-3119.55,0.1128,-0.0493,0
00:00:00,-607.78,-3129.42,-3114.62,0.0846,0.1588,0
00:00:00,-607.78,-3124.49,-3099.81,0.1410,-0.0458,0
00:00:00,-607.78,-3104.74,-3089.94,0.0846,0.2322,0
00:00:00,-607.78,-3114.62,-3085.00,0.1692,-0.0032,0
00:00:00,-607.78,-3089.94,-3085.00,0.0282,0.1654,0
00:00:00,-607.78,-3085.00,-3055.38,0.1692,-0.1019,0
00:00:00,-607.78,-3089.94,-3065.26,0.1410,0.1954,0
00:00:00,-607.78,-3085.00,-3055.38,0.1692,-0.0917,0
00:00:00,-607.78,-3075.13,-3065.26,0.0564,0.1455,0
00:00:00,-607.78,-3075.13,-3015.90,0.3385,-0.0139,0
00:00:00,-607.78,-3045.51,-3035.64,0.0564,0.2848,0
00:00:00,-601.70,-3065.26,-3035.64,0.1692,0.0669,0
00:00:00,-586.13,-3119.55,-3080.06,0.2256,0.0371,0
00:00:00,-570.12,-3129.42,-3060.32,0.3949,-0.0708,0
00:00:00,-553.66,-3089.94,-3065.26,0.1410,0.2730,0
00:00:00,-536.69,-3070.19,-3015.90,0.3103,0.1996,0
00:00:00,-519.17,-3075.13,-3045.51,0.1692,0.2950,0
00:00:00,-501.03,-3050.45,-3001.09,0.2821,0.2571,0
00:00:00,-475.78,-3055.38,-3001.09,0.3103,0.2822,0
00:00:00,-455.92,-3050.45,-2946.79,0.5923,0.3400,0
00:00:00,-435.15,-3030.70,-2931.98,0.5641,0.3692,0
00:00:00,-420.74,-2991.22,-2867.82,0.7051,0.4789,0
00:00:00,-398.15,-2996.15,-2848.07,0.8462,0.6216,0
00:00:00,-374.19,-2956.66,-2739.48,1.2411,0.7370,0
00:00:00,-348.60,-2917.18,-2675.31,1.3821,0.7917,0
00:00:00,-320.96,-2867.82,-2576.59,1.6641,1.1634,0
00:00:00,-290.71,-2853.01,-2497.62,2.0308,1.5904,0
00:00:00,-268.67,-2843.14,-2403.83,2.5103,1.9297,0
00:00:00,-235.62,-2724.67,-2250.82,2.7077,2.5661,0
00:00:00,-217.41,-2719.74,-2176.78,3.1026,2.7456,0
00:00:00,-201.15,-2966.54,-2403.83,3.2155,2.4533,0
00:00:00,-197.60,-2818.46,-1944.78,4.9924,3.0238,0
00:00:00,-202.12,-2305.11,-1470.93,4.7668,3.5083,0
00:00:00,-212.53,-1648.62,-927.97,4.1180,3.1132,0
00:00:00,-219.89,-1564.71,-1105.66,2.6231,2.3843,0
00:00:00,-238.40,-1717.73,-1357.40,2.0590,1.5099,0
00:00:00,-249.31,-1781.90,-1411.70,2.1154,1.5653,0
00:00:00,-271.05,-1693.05,-1377.14,1.8052,1.5942,0
00:00:00,-282.20,-1683.18,-1357.40,1.8616,1.2402,0
00:00:00,-303.26,-1683.18,-1396.89,1.6359,1.3206,0
00:00:00,-322.96,-1707.86,-1465.99,1.3821,1.1023,0
00:00:00,-332.37,-1697.98,-1505.48,1.1000,0.9163,0
00:00:00,-350.43,-1747.34,-1530.16,1.2411,0.7008,0
00:00:00,-359.13,-1737.47,-1564.71,0.9872,0.6944,0
00:00:00,-375.91,-1742.41,-1619.01,0.7051,0.5296,0
